# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = tmpys6ezil1_model
# start_datetime = 2026-05-28 21:47:06 UTC
# method = pathfinder
#   pathfinder
#     init_alpha = 0.001 (Default)
#     tol_obj = 1e-12 (Default)
#     tol_rel_obj = 10000 (Default)
#     tol_grad = 1e-08 (Default)
#     tol_rel_grad = 1e+07 (Default)
#     tol_param = 1e-08 (Default)
#     history_size = 5 (Default)
#     num_psis_draws = 1000 (Default)
#     num_paths = 4 (Default)
#     save_single_paths = false (Default)
#     psis_resample = true (Default)
#     calculate_lp = true (Default)
#     max_lbfgs_iters = 1000 (Default)
#     num_draws = 1000 (Default)
#     num_elbo_draws = 25 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/k_/lm3f3ty933bgx8bfm0dsx7cr0000gn/T/tmp24rl7p3e/d3wh4mrc.json
# init = 2 (Default)
# random
#   seed = 10
# output
#   file = /Users/madelynandersen/Documents/VB Bakeoff/simpleVI/paper_vignettes/stan_conj1dgaussian_demo/cmdstan_output/1dgaussian-20260528174706.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=1dgaussian.stan
lp_approx__,lp__,path__,mu
1.2012052, -146.13601, 2, 2.9990913
0.47037797, -146.86683, 2, 2.9243557
-0.071783625, -147.409, 2, 3.2301089
-0.071783625, -147.409, 2, 3.2301089
1.2406752, -146.09654, 2, 3.0060218
1.3353589, -146.00185, 2, 3.028411
0.81803365, -146.51918, 2, 3.1658605
1.371395, -145.96582, 2, 3.0438174
1.339338, -145.99787, 2, 3.0297181
0.64367384, -146.69354, 2, 2.937851
0.64367384, -146.69354, 2, 2.937851
1.1123666, -146.22485, 2, 2.9858403
1.2900474, -146.04716, 2, 3.1027779
1.2900474, -146.04716, 2, 3.1027779
1.3374704, -145.99974, 2, 3.0899065
0.88820178, -146.44901, 2, 3.1590455
1.2197047, -146.11751, 2, 3.0022351
1.2647727, -146.07244, 2, 3.1082693
1.2616639, -146.07555, 2, 3.0101016
0.57548161, -146.76173, 2, 2.9323695
1.3831162, -145.9541, 2, 3.0560952
1.2111983, -146.12601, 2, 3.0007686
0.68628694, -146.65092, 2, 2.9414055
1.2732429, -146.06397, 2, 3.0125036
1.1787423, -146.15847, 2, 3.123523
1.1001077, -146.2371, 2, 2.9841946
1.3690864, -145.96813, 2, 3.0765951
0.61217466, -146.72504, 2, 3.1837152
1.2112893, -146.12592, 2, 3.11822
1.383325, -145.95389, 2, 3.0622279
1.250271, -146.08694, 2, 3.007847
1.3797309, -145.95748, 2, 3.0684074
1.3139102, -146.0233, 2, 3.0221445
1.04239, -146.29482, 2, 3.1421183
-0.44615806, -147.78337, 2, 3.2507962
0.8874274, -146.44978, 2, 2.9598808
0.8874274, -146.44978, 2, 2.9598808
1.3762308, -145.96098, 2, 3.0472832
1.338935, -145.99828, 2, 3.0295831
1.338935, -145.99828, 2, 3.0295831
1.3752681, -145.96194, 2, 3.0465193
-0.67997971, -148.01719, 2, 2.8563534
1.3404448, -145.99677, 2, 3.0300921
1.3404448, -145.99677, 2, 3.0300921
1.3769084, -145.9603, 2, 3.0711532
1.3603051, -145.97691, 2, 3.0811303
0.62069354, -146.71652, 3, 2.9359766
1.3519689, -145.98524, 3, 3.0846912
1.3280916, -146.00912, 3, 3.0928485
1.1639237, -146.17329, 3, 2.9932071
1.3495466, -145.98767, 3, 3.085635
1.3755082, -145.9617, 3, 3.0722986
1.383445, -145.95377, 3, 3.0572592
-0.19326694, -147.53048, 3, 2.881918
0.61458375, -146.72263, 3, 3.1835211
0.11273706, -147.22447, 3, 2.9000761
0.93963675, -146.39758, 3, 3.1537375
0.93963675, -146.39758, 3, 3.1537375
0.92569857, -146.41151, 3, 3.155205
-2.8885165, -150.22573, 3, 2.7672082
1.3620044, -145.97521, 3, 3.0386742
1.2523052, -146.08491, 3, 3.1107618
0.58840573, -146.74881, 3, 3.185614
1.2409063, -146.09631, 3, 3.1129391
0.8479304, -146.48928, 3, 3.1630117
0.89141315, -146.4458, 3, 2.9602817
0.91692723, -146.42028, 3, 3.156117
1.0116783, -146.32553, 3, 2.9732488
-0.093820049, -147.43103, 3, 3.2313956
-0.18906019, -147.52627, 3, 2.882155
0.91981909, -146.41739, 3, 2.9631868
1.382703, -145.95451, 3, 3.0639596
1.382703, -145.95451, 3, 3.0639596
1.382703, -145.95451, 3, 3.0639596
1.0779183, -146.25929, 3, 2.9813039
1.3704391, -145.96677, 3, 3.0432195
1.3818238, -145.95539, 3, 3.0656218
1.2733581, -146.06385, 3, 3.106476
1.2733581, -146.06385, 3, 3.106476
1.2831041, -146.05411, 3, 3.0146507
1.2172654, -146.11995, 3, 3.1171934
0.27586645, -147.06135, 3, 2.9106586
0.83546769, -146.50174, 3, 3.1642087
1.3806002, -145.95661, 3, 3.0516331
1.1334723, -146.20374, 3, 2.9887632
1.3768423, -145.96037, 3, 3.0712098
1.3551092, -145.9821, 3, 3.035592
1.3825439, -145.95467, 3, 3.0547009
1.1391781, -146.19803, 3, 3.1294297
1.1009715, -146.23624, 3, 2.9843094
0.27176952, -147.06544, 3, 3.2086205
0.8835688, -146.45364, 3, 3.1595098
1.2654575, -146.07175, 3, 3.1081286
1.0526138, -146.2846, 3, 2.9781326
1.3833296, -145.95388, 3, 3.062211
1.1575099, -146.1797, 3, 3.1267574
1.1575099, -146.1797, 3, 3.1267574
1.2115114, -146.1257, 3, 3.1181822
1.2115114, -146.1257, 3, 3.1181822
-0.3788536, -147.71607, 3, 2.8717589
-0.3788536, -147.71607, 3, 2.8717589
0.95153085, -146.38568, 3, 2.9665373
